ID,Symbol,Security,Wikipedia_URL,Cluster
248,IR,Ingersoll Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand,11
250,INTC,Intel,https://en.wikipedia.org/wiki/Intel,-1
251,IBKR,Interactive Brokers,https://en.wikipedia.org/wiki/Interactive_Brokers,13
252,ICE,Intercontinental Exchange,https://en.wikipedia.org/wiki/Intercontinental_Exchange,13
254,IP,International Paper,https://en.wikipedia.org/wiki/International_Paper,8
255,IPG,Interpublic Group of Companies (The),https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies,-1
256,INTU,Intuit,https://en.wikipedia.org/wiki/Intuit,-1
257,ISRG,Intuitive Surgical,https://en.wikipedia.org/wiki/Intuitive_Surgical,20
258,IVZ,Invesco,https://en.wikipedia.org/wiki/Invesco,-1
259,INVH,Invitation Homes,https://en.wikipedia.org/wiki/Invitation_Homes,22
260,IQV,IQVIA,https://en.wikipedia.org/wiki/IQVIA,20
261,IRM,Iron Mountain,https://en.wikipedia.org/wiki/Iron_Mountain_(company),0
262,JBHT,J.B. Hunt,https://en.wikipedia.org/wiki/J.B._Hunt,-1
263,JBL,Jabil,https://en.wikipedia.org/wiki/Jabil,-1
264,JKHY,Jack Henry & Associates,https://en.wikipedia.org/wiki/Jack_Henry_%26_Associates,28
265,J,Jacobs Solutions,https://en.wikipedia.org/wiki/Jacobs_Solutions,-1
266,JNJ,Johnson & Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,-1
267,JCI,Johnson Controls,https://en.wikipedia.org/wiki/Johnson_Controls,-1
268,JPM,JPMorgan Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase,24
269,K,Kellanova,https://en.wikipedia.org/wiki/Kellanova,10
270,KVUE,Kenvue,https://en.wikipedia.org/wiki/Kenvue,20
271,KDP,Keurig Dr Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper,9
272,KEY,KeyCorp,https://en.wikipedia.org/wiki/KeyCorp,24
273,KEYS,Keysight Technologies,https://en.wikipedia.org/wiki/Keysight_Technologies,20
274,KMB,Kimberly-Clark,https://en.wikipedia.org/wiki/Kimberly-Clark,8
275,KIM,Kimco Realty,https://en.wikipedia.org/wiki/Kimco_Realty,5
276,KMI,Kinder Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan,2
277,KKR,KKR & Co.,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts,28
278,KLAC,KLA Corporation,https://en.wikipedia.org/wiki/KLA_Corporation,-1
279,KHC,Kraft Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz,10
280,KR,Kroger,https://en.wikipedia.org/wiki/Kroger,18
281,LHX,L3Harris,https://en.wikipedia.org/wiki/L3Harris,16
282,LH,Labcorp,https://en.wikipedia.org/wiki/Labcorp,20
283,LRCX,Lam Research,https://en.wikipedia.org/wiki/Lam_Research,-1
284,LW,Lamb Weston,https://en.wikipedia.org/wiki/Lamb_Weston,10
285,LVS,Las Vegas Sands,https://en.wikipedia.org/wiki/Las_Vegas_Sands,22
286,LDOS,Leidos,https://en.wikipedia.org/wiki/Leidos,16
287,LEN,Lennar,https://en.wikipedia.org/wiki/Lennar,-1
288,LII,Lennox International,https://en.wikipedia.org/wiki/Lennox_International,-1
289,LLY,Lilly (Eli),https://en.wikipedia.org/wiki/Eli_Lilly_and_Company,20
290,LIN,Linde plc,https://en.wikipedia.org/wiki/Linde_plc,1
291,LYV,Live Nation Entertainment,https://en.wikipedia.org/wiki/Live_Nation_Entertainment,-1
