ID,Symbol,Security,Wikipedia_URL
366,PYPL,PayPal,https://en.wikipedia.org/wiki/PayPal
367,PNR,Pentair,https://en.wikipedia.org/wiki/Pentair
368,PEP,PepsiCo,https://en.wikipedia.org/wiki/PepsiCo
369,PFE,Pfizer,https://en.wikipedia.org/wiki/Pfizer
370,PCG,PG&E Corporation,https://en.wikipedia.org/wiki/PG%26E
371,PM,Philip Morris International,https://en.wikipedia.org/wiki/Philip_Morris_International
372,PSX,Phillips 66,https://en.wikipedia.org/wiki/Phillips_66
373,PNW,Pinnacle West Capital,https://en.wikipedia.org/wiki/Pinnacle_West_Capital
374,PNC,PNC Financial Services,https://en.wikipedia.org/wiki/PNC_Financial_Services
375,POOL,Pool Corporation,https://en.wikipedia.org/wiki/Pool_Corporation
376,PPG,PPG Industries,https://en.wikipedia.org/wiki/PPG_Industries
377,PPL,PPL Corporation,https://en.wikipedia.org/wiki/PPL_Corporation
378,PFG,Principal Financial Group,https://en.wikipedia.org/wiki/Principal_Financial_Group
379,PG,Procter & Gamble,https://en.wikipedia.org/wiki/Procter_%26_Gamble
380,PGR,Progressive Corporation,https://en.wikipedia.org/wiki/Progressive_Corporation
381,PLD,Prologis,https://en.wikipedia.org/wiki/Prologis
382,PRU,Prudential Financial,https://en.wikipedia.org/wiki/Prudential_Financial
383,PEG,Public Service Enterprise Group,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group
384,PTC,PTC Inc.,https://en.wikipedia.org/wiki/PTC_(software_company)
385,PSA,Public Storage,https://en.wikipedia.org/wiki/Public_Storage
386,PHM,PulteGroup,https://en.wikipedia.org/wiki/PulteGroup
387,PWR,Quanta Services,https://en.wikipedia.org/wiki/Quanta_Services
388,QCOM,Qualcomm,https://en.wikipedia.org/wiki/Qualcomm
389,DGX,Quest Diagnostics,https://en.wikipedia.org/wiki/Quest_Diagnostics
390,RL,Ralph Lauren Corporation,https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation
391,RJF,Raymond James Financial,https://en.wikipedia.org/wiki/Raymond_James_Financial
392,RTX,RTX Corporation,https://en.wikipedia.org/wiki/RTX_Corporation
393,O,Realty Income,https://en.wikipedia.org/wiki/Realty_Income
394,REG,Regency Centers,https://en.wikipedia.org/wiki/Regency_Centers
395,REGN,Regeneron Pharmaceuticals,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals
396,RF,Regions Financial Corporation,https://en.wikipedia.org/wiki/Regions_Financial_Corporation
397,RSG,Republic Services,https://en.wikipedia.org/wiki/Republic_Services
398,RMD,ResMed,https://en.wikipedia.org/wiki/ResMed
399,RVTY,Revvity,https://en.wikipedia.org/wiki/Revvity
400,HOOD,Robinhood Markets,https://en.wikipedia.org/wiki/Robinhood_Markets
401,ROK,Rockwell Automation,https://en.wikipedia.org/wiki/Rockwell_Automation
402,ROL,"Rollins, Inc.","https://en.wikipedia.org/wiki/Rollins,_Inc."
403,ROP,Roper Technologies,https://en.wikipedia.org/wiki/Roper_Technologies
404,ROST,Ross Stores,https://en.wikipedia.org/wiki/Ross_Stores
405,RCL,Royal Caribbean Group,https://en.wikipedia.org/wiki/Royal_Caribbean_Group
406,SPGI,S&P Global,https://en.wikipedia.org/wiki/S%26P_Global
407,CRM,Salesforce,https://en.wikipedia.org/wiki/Salesforce
408,SBAC,SBA Communications,https://en.wikipedia.org/wiki/SBA_Communications
409,SLB,Schlumberger,https://en.wikipedia.org/wiki/Schlumberger
410,STX,Seagate Technology,https://en.wikipedia.org/wiki/Seagate_Technology
411,SRE,Sempra,https://en.wikipedia.org/wiki/Sempra
412,NOW,ServiceNow,https://en.wikipedia.org/wiki/ServiceNow
413,SHW,Sherwin-Williams,https://en.wikipedia.org/wiki/Sherwin-Williams
414,SPG,Simon Property Group,https://en.wikipedia.org/wiki/Simon_Property_Group
415,SWKS,Skyworks Solutions,https://en.wikipedia.org/wiki/Skyworks_Solutions
416,SJM,J.M. Smucker Company (The),https://en.wikipedia.org/wiki/The_J.M._Smucker_Company
417,SW,Smurfit Westrock,https://en.wikipedia.org/wiki/Smurfit_Westrock
418,SNA,Snap-on,https://en.wikipedia.org/wiki/Snap-on
419,SOLV,Solventum,https://en.wikipedia.org/wiki/Solventum
420,SO,Southern Company,https://en.wikipedia.org/wiki/Southern_Company
421,LUV,Southwest Airlines,https://en.wikipedia.org/wiki/Southwest_Airlines
422,SWK,Stanley Black & Decker,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker
423,SBUX,Starbucks,https://en.wikipedia.org/wiki/Starbucks
424,STT,State Street Corporation,https://en.wikipedia.org/wiki/State_Street_Corporation
425,STLD,Steel Dynamics,https://en.wikipedia.org/wiki/Steel_Dynamics
426,STE,Steris,https://en.wikipedia.org/wiki/Steris
427,SYK,Stryker Corporation,https://en.wikipedia.org/wiki/Stryker_Corporation
428,SMCI,Supermicro,https://en.wikipedia.org/wiki/Supermicro
429,SYF,Synchrony Financial,https://en.wikipedia.org/wiki/Synchrony_Financial
430,SNPS,Synopsys,https://en.wikipedia.org/wiki/Synopsys
431,SYY,Sysco,https://en.wikipedia.org/wiki/Sysco
432,TMUS,T-Mobile US,https://en.wikipedia.org/wiki/T-Mobile_US
433,TROW,T. Rowe Price,https://en.wikipedia.org/wiki/T._Rowe_Price
434,TTWO,Take-Two Interactive,https://en.wikipedia.org/wiki/Take-Two_Interactive
435,TPR,"Tapestry, Inc.","https://en.wikipedia.org/wiki/Tapestry,_Inc."
436,TRGP,Targa Resources,https://en.wikipedia.org/wiki/Targa_Resources
437,TGT,Target Corporation,https://en.wikipedia.org/wiki/Target_Corporation
438,TEL,TE Connectivity,https://en.wikipedia.org/wiki/TE_Connectivity
439,TDY,Teledyne Technologies,https://en.wikipedia.org/wiki/Teledyne_Technologies
440,TER,Teradyne,https://en.wikipedia.org/wiki/Teradyne
441,TSLA,"Tesla, Inc.","https://en.wikipedia.org/wiki/Tesla,_Inc."
442,TXN,Texas Instruments,https://en.wikipedia.org/wiki/Texas_Instruments
443,TPL,Texas Pacific Land Corporation,https://en.wikipedia.org/wiki/Texas_Pacific_Land_Corporation
444,TXT,Textron,https://en.wikipedia.org/wiki/Textron
445,TMO,Thermo Fisher Scientific,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific
446,TJX,TJX Companies,https://en.wikipedia.org/wiki/TJX_Companies
447,TKO,TKO Group Holdings,https://en.wikipedia.org/wiki/TKO_Group_Holdings
448,TTD,Trade Desk (The),https://en.wikipedia.org/wiki/The_Trade_Desk
449,TSCO,Tractor Supply,https://en.wikipedia.org/wiki/Tractor_Supply
450,TT,Trane Technologies,https://en.wikipedia.org/wiki/Trane_Technologies
451,TDG,TransDigm Group,https://en.wikipedia.org/wiki/TransDigm_Group
452,TRV,Travelers Companies (The),https://en.wikipedia.org/wiki/The_Travelers_Companies
453,TRMB,Trimble Inc.,https://en.wikipedia.org/wiki/Trimble_Inc.
454,TFC,Truist Financial,https://en.wikipedia.org/wiki/Truist_Financial
455,TYL,Tyler Technologies,https://en.wikipedia.org/wiki/Tyler_Technologies
456,TSN,Tyson Foods,https://en.wikipedia.org/wiki/Tyson_Foods
457,USB,U.S. Bancorp,https://en.wikipedia.org/wiki/U.S._Bancorp
458,UBER,Uber,https://en.wikipedia.org/wiki/Uber
459,UDR,"UDR, Inc.","https://en.wikipedia.org/wiki/UDR,_Inc."
460,ULTA,Ulta Beauty,https://en.wikipedia.org/wiki/Ulta_Beauty
461,UNP,Union Pacific Corporation,https://en.wikipedia.org/wiki/Union_Pacific_Corporation
462,UAL,United Airlines Holdings,https://en.wikipedia.org/wiki/United_Airlines_Holdings
463,UPS,United Parcel Service,https://en.wikipedia.org/wiki/United_Parcel_Service
464,URI,United Rentals,https://en.wikipedia.org/wiki/United_Rentals
465,UNH,UnitedHealth Group,https://en.wikipedia.org/wiki/UnitedHealth_Group
466,UHS,Universal Health Services,https://en.wikipedia.org/wiki/Universal_Health_Services
467,VLO,Valero Energy,https://en.wikipedia.org/wiki/Valero_Energy
468,VTR,Ventas,https://en.wikipedia.org/wiki/Ventas_(company)
469,VLTO,Veralto,https://en.wikipedia.org/wiki/Veralto
470,VRSN,Verisign,https://en.wikipedia.org/wiki/Verisign
471,VRSK,Verisk Analytics,https://en.wikipedia.org/wiki/Verisk_Analytics
472,VZ,Verizon,https://en.wikipedia.org/wiki/Verizon
473,VRTX,Vertex Pharmaceuticals,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals
474,VTRS,Viatris,https://en.wikipedia.org/wiki/Viatris
475,VICI,Vici Properties,https://en.wikipedia.org/wiki/Vici_Properties
476,V,Visa Inc.,https://en.wikipedia.org/wiki/Visa_Inc.
477,VST,Vistra Corp.,https://en.wikipedia.org/wiki/Vistra_Corp
478,VMC,Vulcan Materials Company,https://en.wikipedia.org/wiki/Vulcan_Materials_Company
479,WRB,W. R. Berkley Corporation,https://en.wikipedia.org/wiki/W._R._Berkley_Corporation
480,GWW,W. W. Grainger,https://en.wikipedia.org/wiki/W._W._Grainger
481,WAB,Wabtec,https://en.wikipedia.org/wiki/Wabtec
482,WMT,Walmart,https://en.wikipedia.org/wiki/Walmart
483,DIS,Walt Disney Company (The),https://en.wikipedia.org/wiki/The_Walt_Disney_Company
484,WBD,Warner Bros. Discovery,https://en.wikipedia.org/wiki/Warner_Bros._Discovery
485,WM,Waste Management,"https://en.wikipedia.org/wiki/Waste_Management,_Inc."
486,WAT,Waters Corporation,https://en.wikipedia.org/wiki/Waters_Corporation
487,WEC,WEC Energy Group,https://en.wikipedia.org/wiki/WEC_Energy_Group
488,WFC,Wells Fargo,https://en.wikipedia.org/wiki/Wells_Fargo
489,WELL,Welltower,https://en.wikipedia.org/wiki/Welltower
490,WST,West Pharmaceutical Services,https://en.wikipedia.org/wiki/West_Pharmaceutical_Services
491,WDC,Western Digital,https://en.wikipedia.org/wiki/Western_Digital
492,WY,Weyerhaeuser,https://en.wikipedia.org/wiki/Weyerhaeuser
493,WSM,"Williams-Sonoma, Inc.","https://en.wikipedia.org/wiki/Williams-Sonoma,_Inc."
494,WMB,Williams Companies,https://en.wikipedia.org/wiki/Williams_Companies
495,WTW,Willis Towers Watson,https://en.wikipedia.org/wiki/Willis_Towers_Watson
496,WDAY,"Workday, Inc.","https://en.wikipedia.org/wiki/Workday,_Inc."
497,WYNN,Wynn Resorts,https://en.wikipedia.org/wiki/Wynn_Resorts
498,XEL,Xcel Energy,https://en.wikipedia.org/wiki/Xcel_Energy
499,XYL,Xylem Inc.,https://en.wikipedia.org/wiki/Xylem_Inc.
500,YUM,Yum! Brands,https://en.wikipedia.org/wiki/Yum!_Brands
501,ZBRA,Zebra Technologies,https://en.wikipedia.org/wiki/Zebra_Technologies
502,ZBH,Zimmer Biomet,https://en.wikipedia.org/wiki/Zimmer_Biomet
503,ZTS,Zoetis,https://en.wikipedia.org/wiki/Zoetis
