ID,Symbol,Security,Wikipedia_URL,Cluster,X,Y
177,ERIE,Erie Indemnity,https://en.wikipedia.org/wiki/Erie_Insurance_Group,15,3.1634648,6.4042544
178,ESS,Essex Property Trust,https://en.wikipedia.org/wiki/Essex_Property_Trust,6,-0.79889077,6.240553
179,EL,Estée Lauder Companies (The),https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies,0,1.9804746,3.387396
180,EG,Everest Group,https://en.wikipedia.org/wiki/Everest_Group,15,2.7551465,6.271103
181,EVRG,Evergy,https://en.wikipedia.org/wiki/Evergy,12,5.6360693,1.2887974
182,ES,Eversource Energy,https://en.wikipedia.org/wiki/Eversource_Energy,12,5.751755,1.0014238
183,EXC,Exelon,https://en.wikipedia.org/wiki/Exelon,12,5.4534845,1.1180515
184,EXE,Expand Energy,https://en.wikipedia.org/wiki/Expand_Energy,12,5.959839,2.180626
185,EXPE,Expedia Group,https://en.wikipedia.org/wiki/Expedia_Group,6,0.089221664,5.342318
186,EXPD,Expeditors International,https://en.wikipedia.org/wiki/Expeditors_International,-1,1.177476,5.0767183
187,EXR,Extra Space Storage,https://en.wikipedia.org/wiki/Extra_Space_Storage,6,-0.39274907,6.4072676
188,XOM,ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil,12,5.882373,2.6935432
189,FFIV,"F5, Inc.","https://en.wikipedia.org/wiki/F5,_Inc.",18,-0.17122315,3.4412096
190,FDS,FactSet,https://en.wikipedia.org/wiki/FactSet,18,-0.07221522,3.6701095
191,FICO,Fair Isaac,https://en.wikipedia.org/wiki/FICO,18,-0.11160717,3.9500244
192,FAST,Fastenal,https://en.wikipedia.org/wiki/Fastenal,-1,1.7012068,4.765377
193,FRT,Federal Realty Investment Trust,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust,6,-0.74709547,6.408603
194,FDX,FedEx,https://en.wikipedia.org/wiki/FedEx,-1,1.4585251,4.978525
195,FIS,Fidelity National Information Services,https://en.wikipedia.org/wiki/FIS_(company),18,0.055196155,3.9560573
196,FITB,Fifth Third Bancorp,https://en.wikipedia.org/wiki/Fifth_Third_Bancorp,14,2.299043,7.561065
197,FSLR,First Solar,https://en.wikipedia.org/wiki/First_Solar,19,0.33812508,0.78772736
198,FE,FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy,12,5.7052298,1.1550074
199,FI,Fiserv,https://en.wikipedia.org/wiki/Fiserv,18,-0.09447737,3.8938696
200,F,Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,10,2.4294765,2.2637346
201,FTNT,Fortinet,https://en.wikipedia.org/wiki/Fortinet,18,-0.24021952,3.2619834
202,FTV,Fortive,https://en.wikipedia.org/wiki/Fortive,18,-0.014467665,3.3968065
203,FOXA,Fox Corporation (Class A),https://en.wikipedia.org/wiki/Fox_Corporation,5,-0.90230846,3.979218
204,FOX,Fox Corporation (Class B),https://en.wikipedia.org/wiki/Fox_Corporation,5,-0.9409325,3.9397368
205,BEN,Franklin Resources,https://en.wikipedia.org/wiki/Franklin_Templeton_Investments,-1,1.441862,5.454636
206,FCX,Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan,4,3.164782,2.973783
207,GRMN,Garmin,https://en.wikipedia.org/wiki/Garmin,10,1.1092151,2.0018718
208,IT,Gartner,https://en.wikipedia.org/wiki/Gartner,10,1.5026579,2.2767878
209,GE,GE Aerospace,https://en.wikipedia.org/wiki/GE_Aerospace,10,2.1317153,1.6167128
210,GEHC,GE HealthCare,https://en.wikipedia.org/wiki/GE_HealthCare,9,1.6265566,1.0035425
211,GEV,GE Vernova,https://en.wikipedia.org/wiki/GE_Vernova,12,6.2125072,1.4025543
212,GEN,Gen Digital,https://en.wikipedia.org/wiki/Gen_Digital,10,1.2236233,2.5180848
213,GNRC,Generac,https://en.wikipedia.org/wiki/Generac,10,2.4767973,1.9385875
214,GD,General Dynamics,https://en.wikipedia.org/wiki/General_Dynamics,10,1.7462986,2.2256365
215,GIS,General Mills,https://en.wikipedia.org/wiki/General_Mills,2,3.4183612,3.5577629
216,GM,General Motors,https://en.wikipedia.org/wiki/General_Motors,10,2.2704837,2.2299912
217,GPC,Genuine Parts Company,https://en.wikipedia.org/wiki/Genuine_Parts_Company,10,2.9892807,2.0895276
218,GILD,Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences,9,1.9877536,-0.14798783
219,GPN,Global Payments,https://en.wikipedia.org/wiki/Global_Payments,13,0.28034136,4.4003925
220,GL,Globe Life,https://en.wikipedia.org/wiki/Globe_Life,15,2.7580974,6.2116003
221,GDDY,GoDaddy,https://en.wikipedia.org/wiki/GoDaddy,-1,1.0131369,3.6386094
222,GS,Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs,14,1.533189,6.67487
223,HAL,Halliburton,https://en.wikipedia.org/wiki/Halliburton,-1,5.0278764,2.897976
224,HIG,Hartford (The),https://en.wikipedia.org/wiki/The_Hartford,15,3.083996,6.0375586
225,HAS,Hasbro,https://en.wikipedia.org/wiki/Hasbro,-1,2.7339015,3.5895612
226,HCA,HCA Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare,8,2.6382916,4.94577
227,DOC,Healthpeak Properties,https://en.wikipedia.org/wiki/Healthpeak_Properties,6,-0.4526419,6.0836487
228,HSIC,Henry Schein,https://en.wikipedia.org/wiki/Henry_Schein,8,2.7342913,4.6852055
229,HSY,Hershey Company (The),https://en.wikipedia.org/wiki/The_Hershey_Company,2,3.5660026,3.9877903
230,HPE,Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,10,1.7422018,2.7948117
231,HLT,Hilton Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide,6,-0.2069071,4.7974577
232,HOLX,Hologic,https://en.wikipedia.org/wiki/Hologic,9,1.7647423,1.0186522
233,HD,Home Depot (The),https://en.wikipedia.org/wiki/Home_Depot,0,1.7536663,3.3725038
234,HON,Honeywell,https://en.wikipedia.org/wiki/Honeywell,-1,2.0730731,2.5201652
235,HRL,Hormel Foods,https://en.wikipedia.org/wiki/Hormel_Foods,2,3.6089747,3.732686
